Gene1	Gene2	interaction	Annotation	Regulation	TRRUST_Annotation	TRRUST_Direction	TRRUST_Score
DAB2	HIP1R	->	complex; input (Complex interaction)	Activation			
DAB2	ITSN1	->	complex; input (Complex interaction)	Activation			
DAB2	SMAD3	->	activate	Activation			
DAB2	SYNJ1	->	complex; input (Complex interaction)	Activation			
DAB2	SYNJ2	->	complex; input (Complex interaction)	Activation			
DACH1	FOS	-|			Repression	-|	1.0
DACH1	TNFSF11	-|			Repression	-|	1.0
DAG1	DMD	->	PPrel: binding/association; complex; input (Binding/Association)	Activation			
DAG1	PAK2	->	complex (Complex interaction)	Activation			
DAG1	PAK6	->	complex (Complex interaction)	Activation			
DENND1B	CHML	->	catalyzed by (Swapped)	Activation			
DENND2A	CHML	->	catalyzed by (Swapped)	Activation			
DKK1	FZD1	-|	inhibit; input	Inhibition			
DKK1	FZD8	->	input (Input/Compound interaction)	Activation			
DKK1	KREMEN1	->	complex; input (Complex interaction)	Activation			
DKK1	LRP5	-|	PPrel: inhibition; complex; input	Inhibition			
DKK1	SFRP1	->	reaction (Complex interaction)	Activation			
DKK1	SOST	->	reaction (Complex interaction)	Activation			
DKK1	WNT7B	-|	PPrel: inhibition	Inhibition			
DKK1	WNT8B	-|	PPrel: inhibition; inhibit	Inhibition			
DMBT1	FLNB	->	complex; input (Complex interaction)	Activation			
DMBT1	FN1	->	complex; input (Complex interaction)	Activation			
DMBT1	ITGB8	->	complex (Complex interaction)	Activation			
DMBT1	ITGBL1	->	complex (Complex interaction)	Activation			
DMBT1	LAMA1	->	complex; input (Complex interaction)	Activation			
DMBT1	LAMA3	->	complex; input (Complex interaction)	Activation			
DMBT1	LAMA5	->	complex; input (Complex interaction)	Activation			
DMBT1	LAMB2	->	complex; input (Complex interaction)	Activation			
DMBT1	LAMC2	->	complex; input (Complex interaction)	Activation			
DMD	LAMA1	->	complex; input (Complex interaction)	Activation			
DMD	LAMA3	->	complex; input (Complex interaction)	Activation			
DMD	LAMA5	->	complex; input (Complex interaction)	Activation			
DMD	PAK2	->	complex (Complex interaction)	Activation			
DMD	PAK6	->	complex (Complex interaction)	Activation			
DNAJC6	EREG	->	complex; input (Complex interaction)	Activation			
DNAJC6	HIP1	->	complex; input (Complex interaction)	Activation			
DNAJC6	HIP1R	->	complex; input (Complex interaction)	Activation			
DNAJC6	IGF2R	->	complex; input (Complex interaction)	Activation			
DNAJC6	ITSN1	->	complex; input (Complex interaction)	Activation			
DNAJC6	KIAA0319	->	complex; input (Complex interaction)	Activation			
DNAJC6	REPS2	->	complex; input (Complex interaction)	Activation			
DNAJC6	SCARB2	->	complex; input (Complex interaction)	Activation			
DNAJC6	SH3KBP1	->	complex; input (Complex interaction)	Activation			
DNAJC6	STAM	->	complex; input (Complex interaction)	Activation			
DNAJC6	SYNJ1	->	complex; input (Complex interaction)	Activation			
DNAJC6	SYNJ2	->	complex; input (Complex interaction)	Activation			
DNAJC6	SYT2	->	complex; input (Complex interaction)	Activation			
DNAJC6	TGFA	->	complex; input (Complex interaction)	Activation			
DNM1	CXCR4	->	activated by (Swapped)	Activation			
DNM1	EPHB2	->	complex; input (Complex interaction)	Activation			
DNM1	F2R	->	activate	Activation			
DNM1	GNA15	->	activate; inhibited by (Source activates Target)	Activation			
DNM1	NGF	->	activate	Activation			
DNM1	SH3KBP1	->	reaction (Complex interaction)	Activation			
DNM1	SLC9A3R1	->	activate; inhibited by (Source activates Target)	Activation			
DNM1	SYNJ1	->	reaction (Complex interaction)	Activation			
DOCK2	RAC3	->	PPrel: activation	Activation			
DPF3	PPARG	->	PPrel: binding/association (Binding/Association)	Activation			
DPYSL2	L1CAM	->	complex; input (Complex interaction)	Activation			
DSCAM	MAPK13	->	catalyze	Activation			
DSG2	FLG	->	complex; input (Complex interaction)	Activation			
DSG2	JUP	->	complex (Complex interaction)	Activation			
DSG2	PKP3	->	complex (Complex interaction)	Activation			
EDN1	ADORA1	->	PPrel: activated by (Swapped)	Activation			
EDN1	ADRB2	->	PPrel: activated by; complex; reaction (Swapped)	Activation			
EDN1	EDNRB	->	PPrel: activation; complex; input	Activation			
EDN1	GNA15	->	complex; input (Complex interaction)	Activation			
EDN1	HCAR1	->	PPrel: activation	Activation			
EDN1	HTR1D	->	PPrel: activation	Activation			
EDN1	NPY1R	->	PPrel: activation	Activation			
EDN1	SLC9A3R1	->	complex; input (Complex interaction)	Activation			
EDN1	SSTR1	->	PPrel: activation	Activation			
EDN1	SSTR2	->	PPrel: activation	Activation			
EDN2	ADORA1	->	PPrel: activated by (Swapped)	Activation			
EDN2	ADRB2	->	PPrel: activated by (Swapped)	Activation			
EDN2	EDNRB	->	PPrel: activation; complex; input	Activation			
EDN2	GNA15	->	complex; input (Complex interaction)	Activation			
EDN2	HCAR1	->	PPrel: activation	Activation			
EDN2	HTR1D	->	PPrel: activation	Activation			
EDN2	NPY1R	->	PPrel: activation	Activation			
EDN2	SSTR1	->	PPrel: activation	Activation			
EDN2	SSTR2	->	PPrel: activation	Activation			
EDNRB	GNA15	->	PPrel: activation; complex; input	Activation			
EEF1A2	PTPN6	->	PPrel: activation	Activation			
EFEMP1	VTN	->	complex; input (Complex interaction)	Activation			
EFNA1	CBL	->	activated by (Swapped)	Activation			
EFNA1	EPHA10	->	complex; input (Complex interaction)	Activation			
EFNA1	EPHA5	->	PPrel: activation; complex; input	Activation			
EFNA1	EPHB2	->	input (Input/Compound interaction)	Activation			
EFNA1	ERBB3	->	PPrel: activation	Activation			
EFNA1	ERBB4	->	PPrel: activation	Activation			
EFNA1	FGFR2	->	PPrel: activation	Activation			
EFNA1	FLT1	->	PPrel: activation	Activation			
EFNA1	KDR	->	PPrel: activation	Activation			
EFNA1	NGFR	->	PPrel: activation	Activation			
EFNA1	NTRK2	->	PPrel: activation	Activation			
EGR1	ABCB1	->			Activation	->	1.0
EGR1	ACE	->			Activation	->	1.0
EGR1	ADIRF	->	expression regulated by (Swapped)	Activation			
EGR1	ADORA1	->	expression regulated by (Swapped)	Activation			
EGR1	AFAP1L2	->	expression regulated by (Swapped)	Activation			
EGR1	AKR1B1	->	expression regulated by (Swapped)	Activation			
EGR1	ALOX5	->			Activation	->	1.0
EGR1	AR	->	expression regulated by; reaction (Swapped)	Activation	Repression	-|	1.0
EGR1	ATF3	->			Activation	->	1.0
EGR1	BCAR1	->			Activation	->	1.0
EGR1	BHLHE40	->	expression regulated by (Swapped)	Activation			
EGR1	CCND1	->			Activation	->	1.0
EGR1	CCND3	->	expression regulated by (Swapped)	Activation			
EGR1	CD44	->	expression regulated by (Swapped)	Activation			
EGR1	CDK5R1	->			Activation	->	1.0
EGR1	CDKN1A	->			Activation	->	1.0
EGR1	CHGA	->			Activation	->	1.0
EGR1	CNTN1	->	expression regulated by (Swapped)	Activation			
EGR1	CXCL8	-|			Repression	-|	1.0
EGR1	CYP2B6	->			Activation	->	1.0
EGR1	EAPP	->			Activation	->	1.0
EGR1	EGFR	->			Activation	->	1.0
EGR1	EHF	->	expression regulates	Activation			
EGR1	EP300	->			Activation	->	1.0
EGR1	ERBB3	->	expression regulates	Activation			
EGR1	ETV4	->	expression regulates	Activation			
EGR1	FAP	->			Activation	->	1.0
EGR1	FAS	-|			Repression	-|	1.0
EGR1	FCER2	-|			Repression	-|	1.0
EGR1	FGF2	->			Activation	->	1.0
EGR1	FLT1	->	expression regulates	Activation			
EGR1	FN1	->	expression regulates	Activation	Activation	->	1.0
EGR1	GDF15	->	expression regulates	Activation	Activation	->	1.0
EGR1	HIF1A	->			Activation	->	1.0
EGR1	HMGA1	->	expression regulates	Activation			
EGR1	HPSE	->			Activation	->	1.0
EGR1	HSD11B2	-|			Repression	-|	1.0
EGR1	HYAL1	->			Activation	->	1.0
EGR1	IGF2	->			Activation	->	1.0
EGR1	IL1A	->	expression regulates	Activation			
EGR1	IL1B	->	expression regulates	Activation			
EGR1	IL3	->			Activation	->	1.0
EGR1	IL6	->	expression regulates	Activation	Repression	-|	1.0
EGR1	JUN	->	activate; expression regulates; inhibited by (Source activates Target)	Activation			
EGR1	KLK3	-|			Repression	-|	1.0
EGR1	LDLR	->			Activation	->	1.0
EGR1	LHB	->			Activation	->	1.0
EGR1	LMTK2	->			Activation	->	1.0
EGR1	MECOM	->	activate; inhibited by (Source activates Target)	Activation			
EGR1	MMP14	->			Activation	->	1.0
EGR1	MYB	-|			Repression	-|	1.0
EGR1	NAB2	->			Activation	->	1.0
EGR1	NFATC1	->	complex; input (Complex interaction)	Activation			
EGR1	PCSK2	->			Activation	->	1.0
EGR1	PDGFB	->	expression regulates	Activation	Activation	->	1.0
EGR1	PDGFC	->			Activation	->	1.0
EGR1	PECAM1	->	expression regulates	Activation			
EGR1	PLAU	->	expression regulates	Activation	Activation	->	1.0
EGR1	PLAUR	->			Activation	->	1.0
EGR1	POR	->	expression regulates	Activation			
EGR1	POU2F2	->	expression regulated by; expression regulates (Bidirectional Activation)	Activation			
EGR1	PPARG	->	expression regulates; reaction	Activation			
EGR1	PTEN	->			Activation	->	1.0
EGR1	PTGES	->			Activation	->	1.0
EGR1	PTGS2	-|			Repression	-|	1.0
EGR1	RBL2	->			Activation	->	1.0
EGR1	SLC4A2	->			Activation	->	1.0
EGR1	SLC9A3	->			Activation	->	1.0
EGR1	SNAI2	->	activate; inhibited by (Source activates Target)	Activation			
EGR1	SOD1	->			Activation	->	1.0
EGR1	SP140	->	expression regulates	Activation			
EGR1	SPINT1	->	expression regulates	Activation			
EGR1	STIM1	->			Activation	->	1.0
EGR1	SYN1	->			Activation	->	1.0
EGR1	TCF4	->			Activation	->	1.0
EGR1	TFPI2	->	expression regulates	Activation			
EGR1	TMPO	->			Activation	->	1.0
EGR1	TNF	->			Activation	->	1.0
EGR1	TNFSF10	-|			Repression	-|	1.0
EGR1	TP53	->			Activation	->	1.0
EGR1	TSTD1	->	expression regulates	Activation			
EGR1	UBE2S	->			Activation	->	1.0
EGR1	VEGFA	->	expression regulates	Activation	Repression	-|	1.0
EGR1	WNT4	-|			Repression	-|	1.0
EHF	DCDC2	-|			Repression	-|	1.0
EHF	SPRR1B	->			Activation	->	1.0
ELK3	MYH6	-|			Repression	-|	1.0
ENAH	ROBO1	->	complex; input (Complex interaction)	Activation			
EPB41L1	GSN	->	complex (Complex interaction)	Activation			
EPB41L1	MPP1	->	complex (Complex interaction)	Activation			
EPB41L1	MSN	->	complex (Complex interaction)	Activation			
EPB41L1	MYO7A	->	complex (Complex interaction)	Activation			
EPHA10	EPHA5	->	input (Input/Compound interaction)	Activation			
EPHA10	EPHB2	->	input (Input/Compound interaction)	Activation			
EPHA5	ABL1	->	PPrel: activated by (Swapped)	Activation			
EPHA5	EPHB2	->	input (Input/Compound interaction)	Activation			
EPHB2	ABL1	->	PPrel: activated by (Swapped)	Activation			
EPHB2	ITSN1	->	complex; input (Complex interaction)	Activation			
EPHB2	L1CAM	->	catalyze; complex; input	Activation			
EPHB2	NCK2	->	complex; input (Complex interaction)	Activation			
EPHB2	SDC2	->	activate	Activation			
EPHB2	SYNJ1	->	activate	Activation			
EPHX1	GSTM1	->	ECrel: compound (Input/Compound interaction)	Activation			
EPHX1	GSTM2	->	ECrel: compound (Input/Compound interaction)	Activation			
EPHX1	GSTM3	->	ECrel: compound (Input/Compound interaction)	Activation			
EPHX1	GSTM4	->	ECrel: compound (Input/Compound interaction)	Activation			
EPHX1	GSTP1	->	ECrel: compound (Input/Compound interaction)	Activation			
EPHX1	MGST1	->	ECrel: compound (Input/Compound interaction)	Activation			
EPN3	FGFR2	->	PPrel: binding/association (Binding/Association)	Activation			
EPOR	CBL	->	activated by (Swapped)	Activation			
EPOR	JAK1	->	PPrel: activation; PPrel: binding/association; complex	Activation			
EPOR	KITLG	->	complex; input; reaction (Complex interaction)	Activation			
EPOR	PDGFA	->	PPrel (Input/Compound interaction)	Activation			
EPOR	PDGFB	->	PPrel (Input/Compound interaction)	Activation			
EPOR	PLCG1	->	activate; complex; input	Activation			
EPOR	PTPN6	->	activate; inhibited by (Source activates Target)	Activation			
EPOR	SOCS3	->	complex; input (Complex interaction)	Activation			
ERBB3	ERBB4	->	complex; input (Complex interaction)	Activation			
ERBB3	GRB7	->	complex; input (Complex interaction)	Activation			
ERBB3	IRS1	->	PPrel: activation	Activation			
ERBB3	ITGA6	->	reaction (Complex interaction)	Activation			
ERBB3	JAK1	->	PPrel: activation	Activation			
ERBB3	MYC	-|	PPrel: inhibition, indirect effect; expression regulated by (Source inhibits Target)	Inhibition			
ERBB3	PLCG1	->	PPrel: activation	Activation			
ERBB3	SHC3	->	PPrel: activation; PPrel: activation, phosphorylation	Activation			
ERBB4	GRIN2A	-|	inhibite	Inhibition			
ERBB4	IRS1	->	PPrel: activation	Activation			
ERBB4	MYC	-|	PPrel: inhibition, indirect effect	Inhibition			
ERBB4	PLCG1	->	PPrel: activation; complex; input	Activation			
ERBB4	PRKCG	->	catalyze	Activation			
ERBB4	SHC3	->	PPrel: activation, phosphorylation; complex; input	Activation			
ERBB4	SPRY1	->	catalyze	Activation			
ERBB4	STAT4	->	complex; input (Complex interaction)	Activation			
EREG	ERBB3	->	PPrel: activated by; complex; input (Swapped)	Activation			
EREG	ERBB4	->	PPrel: activated by; complex; input (Swapped)	Activation			
EREG	FGFR2	->	PPrel: activation	Activation			
EREG	FLT1	->	PPrel: activation	Activation			
EREG	HIP1	->	complex; input (Complex interaction)	Activation			
EREG	HIP1R	->	complex; input (Complex interaction)	Activation			
EREG	ITSN1	->	complex; input (Complex interaction)	Activation			
EREG	KDR	->	PPrel: activation	Activation			
EREG	NGFR	->	PPrel: activation	Activation			
EREG	NRG2	->	complex; input (Complex interaction)	Activation			
EREG	NTRK2	->	PPrel: activation	Activation			
EREG	PAG1	->	catalyze	Activation			
EREG	PLCG1	->	complex; input (Complex interaction)	Activation			
EREG	REPS2	->	complex (Complex interaction)	Activation			
EREG	SH3KBP1	->	complex; input (Complex interaction)	Activation			
EREG	SPRY1	->	catalyze; complex; input	Activation			
EREG	STAM	->	complex; input (Complex interaction)	Activation			
EREG	SYNJ1	->	complex; input (Complex interaction)	Activation			
EREG	SYNJ2	->	complex; input (Complex interaction)	Activation			
ESRP1	ESRP2	->	complex; input (Complex interaction)	Activation			
ETV4	AGTR1	->			Activation	->	1.0
ETV4	BCHE	->	expression regulated by (Swapped)	Activation			
ETV4	CCND2	->			Activation	->	1.0
ETV4	CCND3	->			Activation	->	1.0
ETV4	CETP	->	expression regulated by (Swapped)	Activation			
ETV4	ERBB2	-|			Repression	-|	1.0
ETV4	ETS1	->			Activation	->	1.0
ETV4	HPGD	->	expression regulates	Activation			
ETV4	MMP14	->			Activation	->	1.0
ETV4	MMP3	->	expression regulates	Activation			
ETV4	MMP7	->			Activation	->	1.0
ETV4	MUC4	->			Activation	->	1.0
ETV4	PTGS2	->			Activation	->	1.0
ETV4	TERT	->			Activation	->	1.0
ETV4	VIM	->			Activation	->	1.0
F11R	ITGB3	->	complex; input; reaction (Complex interaction)	Activation			
F11R	PARD6A	->	complex; input (Complex interaction)	Activation			
F2R	F2RL2	->	complex (Complex interaction)	Activation			
F2R	F2RL3	->	complex (Complex interaction)	Activation			
F2R	GNA15	->	PPrel: activation; activate; complex; input	Activation			
F2RL1	GNA15	->	complex; input (Complex interaction)	Activation			
F2RL2	F2RL3	->	activate; catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
F2RL2	GNA15	->	catalyze; complex; input	Activation			
F2RL2	PAK2	->	activate	Activation			
F2RL2	PARD6A	->	complex (Complex interaction)	Activation			
F2RL3	F2RL2	->	activate; catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
F2RL3	GNA15	->	activate; catalyze; complex; input	Activation			
FBLIM1	FLNC	->	complex; input (Complex interaction)	Activation			
FBLN1	VTN	->	complex; input (Complex interaction)	Activation			
FBN1	ITGB3	->	complex; input (Complex interaction)	Activation			
FBXO2	FBXO27	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO2	FBXO44	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO2	FBXO6	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO2	NEDD4L	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO2	RNF115	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO27	FBXO2	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO27	FBXO44	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO27	FBXO6	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO27	NEDD4L	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO27	RNF115	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO44	FBXO2	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO44	FBXO27	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO44	FBXO6	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO44	NEDD4L	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO44	RNF115	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO6	FBXO2	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO6	FBXO27	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO6	FBXO44	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO6	NEDD4L	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FBXO6	RNF115	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FGD4	RHOB	->	catalyze	Activation			
FGF20	ERBB3	->	PPrel: activated by (Swapped)	Activation			
FGF20	ERBB4	->	PPrel: activated by (Swapped)	Activation			
FGF20	FGF5	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FGF20	FGFR2	->	PPrel: activation; catalyze; catalyzed by; complex; input (Bidirectional Activation)	Activation			
FGF20	FLT1	->	PPrel: activation	Activation			
FGF20	KDR	->	PPrel: activation	Activation			
FGF20	MST1R	->	PPrel: activation	Activation			
FGF20	NGFR	->	PPrel: activation	Activation			
FGF20	NTRK2	->	PPrel: activation	Activation			
FGF20	PLCG1	->	complex; input (Complex interaction)	Activation			
FGF5	ERBB3	->	PPrel: activated by (Swapped)	Activation			
FGF5	ERBB4	->	PPrel: activated by (Swapped)	Activation			
FGF5	FGF20	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
FGF5	FGFR2	->	PPrel: activation; catalyze; catalyzed by; complex; input (Bidirectional Activation)	Activation			
FGF5	FLT1	->	PPrel: activation	Activation			
FGF5	KDR	->	PPrel: activation	Activation			
FGF5	MST1R	->	PPrel: activation	Activation			
FGF5	NGFR	->	PPrel: activation	Activation			
FGF5	NTRK2	->	PPrel: activation	Activation			
FGF5	PLCG1	->	complex; input (Complex interaction)	Activation			
FGFR2	FGF20	->	PPrel: activation; catalyze; catalyzed by; complex; input (Bidirectional Activation)	Activation			
FGFR2	FGF5	->	PPrel: activation; catalyze; catalyzed by; complex; input (Bidirectional Activation)	Activation			
FGFR2	IRS1	->	PPrel: activation	Activation			
FGFR2	JAK1	->	PPrel: activation	Activation			
FGFR2	PLCG1	->	PPrel: activation; complex; input	Activation			
FGFR2	PRKCG	->	catalyze	Activation			
FGFR2	SH3KBP1	->	PPrel: binding/association (Binding/Association)	Activation			
FGFR2	SHC3	->	PPrel: activation; complex; input	Activation			
FKBP5	NR3C1	->	complex (Complex interaction)	Activation			
FLG	JUP	->	complex; input (Complex interaction)	Activation			
FLG	PKP3	->	complex; input (Complex interaction)	Activation			
FLI1	CCND3	->	expression regulated by (Swapped)	Activation			
FLI1	COL1A2	-|			Repression	-|	1.0
FLI1	ERG	->			Activation	->	1.0
FLI1	EYA3	->			Activation	->	1.0
FLI1	FLI1	->			Activation	->	1.0
FLI1	FOXM1	->			Activation	->	1.0
FLI1	GATA1	->			Activation	->	1.0
FLI1	GP6	->			Activation	->	1.0
FLI1	GP9	->			Activation	->	1.0
FLI1	ID2	->			Activation	->	1.0
FLI1	IGFBP3	->	expression regulates	Activation	Repression	-|	1.0
FLI1	IL10	->			Activation	->	1.0
FLI1	LEF1	->	reaction (Complex interaction)	Activation			
FLI1	MIR708	-|			Repression	-|	1.0
FLI1	MMP1	-|			Repression	-|	1.0
FLI1	MMP3	->	expression regulates	Activation			
FLI1	MPL	->			Activation	->	1.0
FLI1	PHLDA1	-|			Repression	-|	1.0
FLI1	TERT	->			Activation	->	1.0
FLI1	TGFBR2	->			Activation	->	1.0
FLNB	FN1	->	complex; input (Complex interaction)	Activation			
FLNB	ITGA2	->	PPrel: binding/association; complex; input (Binding/Association)	Activation			
FLNB	ITGA6	->	PPrel: binding/association; complex; input (Binding/Association)	Activation			
FLNB	ITGB3	->	PPrel: binding/association (Binding/Association)	Activation			
FLNB	ITGB8	->	PPrel: binding/association; complex; input (Binding/Association)	Activation			
FLNB	ITGBL1	->	complex; input (Complex interaction)	Activation			
FLNB	LAMA1	->	complex; input (Complex interaction)	Activation			
FLNB	LAMA3	->	complex; input (Complex interaction)	Activation			
FLNB	LAMA5	->	complex; input (Complex interaction)	Activation			
FLNB	LAMB2	->	complex; input (Complex interaction)	Activation			
FLNB	LAMC2	->	complex; input (Complex interaction)	Activation			
FLNC	ITGA2	->	PPrel: binding/association (Binding/Association)	Activation			
FLNC	ITGA6	->	PPrel: binding/association (Binding/Association)	Activation			
FLNC	ITGB3	->	PPrel: binding/association (Binding/Association)	Activation			
FLNC	ITGB8	->	PPrel: binding/association (Binding/Association)	Activation			
FLT1	GPC1	->	complex; input (Complex interaction)	Activation			
FLT1	IRS1	->	PPrel: activation	Activation			
FLT1	KDR	->	complex; input (Complex interaction)	Activation			
FLT1	PLCG1	->	PPrel: activation; activate	Activation			
FLT1	SHC3	->	PPrel: activation	Activation			
FMNL1	SRGAP2	->	complex; input (Complex interaction)	Activation			
FN1	ANGPT1	->	activated by (Swapped)	Activation			
FN1	CD44	->	PPrel: activated by (Swapped)	Activation			
FN1	IRS1	->	activate	Activation			
FN1	ITGA2	->	PPrel: activation; complex; input	Activation			
FN1	ITGA6	->	PPrel: activation; complex; input	Activation			
FN1	ITGB3	->	PPrel: activation; complex; input; reaction	Activation			
FN1	ITGB8	->	PPrel: activation; complex; input	Activation			
FN1	ITGBL1	->	complex; input (Complex interaction)	Activation			
FN1	LAMA1	->	complex (Complex interaction)	Activation			
FN1	LAMA3	->	complex (Complex interaction)	Activation			
FN1	LAMA5	->	complex (Complex interaction)	Activation			
FN1	LAMB2	->	complex (Complex interaction)	Activation			
FN1	LAMC2	->	complex (Complex interaction)	Activation			
FN1	PLAU	->	complex; input (Complex interaction)	Activation			
FN1	SDC2	->	PPrel: activation; complex; input	Activation			
FOLR1	SPTB	->	complex; input (Complex interaction)	Activation			
FOLR1	SPTBN5	->	complex; input (Complex interaction)	Activation			
FOXA2	ABCA1	-|			Repression	-|	1.0
FOXA2	CDH1	->			Activation	->	1.0
FOXA2	CFTR	-|			Repression	-|	1.0
FOXA2	CITED2	->	expression regulated by (Swapped)	Activation			
FOXA2	EFNA1	->	expression regulated by (Swapped)	Activation			
FOXA2	ETV4	->	expression regulated by (Swapped)	Activation			
FOXA2	FGFR2	->	expression regulated by (Swapped)	Activation			
FOXA2	FOXO1	->	activate; inhibited by (Source activates Target)	Activation			
FOXA2	FST	->	expression regulates	Activation			
FOXA2	ID1	->	expression regulates	Activation			
FOXA2	LEF1	->	reaction (Complex interaction)	Activation			
FOXA2	MMP7	->			Activation	->	1.0
FOXA2	NR1D1	->	expression regulates	Activation			
FOXA2	NR3C1	->	reaction (Complex interaction)	Activation			
FOXA2	NR5A2	->			Activation	->	1.0
FOXA2	PAX6	-|			Repression	-|	1.0
FOXA2	PBX1	->	expression regulates	Activation			
FOXA2	SARM1	->	expression regulates	Activation			
FOXA2	SERPINC1	-|			Repression	-|	1.0
FOXA2	SLC40A1	->	expression regulates	Activation			
FOXA2	SOX14	->			Activation	->	1.0
FOXA2	TCF7	->	reaction (Complex interaction)	Activation			
FOXA2	TPO	->			Activation	->	1.0
FOXA2	ZNF175	->	expression regulates	Activation			
FOXC1	FGF19	->			Activation	->	1.0
FOXF2	BAMBI	->			Activation	->	1.0
FOXF2	CXCL12	->			Activation	->	1.0
FOXF2	ITGB1	-|			Repression	-|	1.0
FOXF2	MT1E	-|			Repression	-|	1.0
FOXF2	MT1F	-|			Repression	-|	1.0
FOXF2	PDGFA	-|			Repression	-|	1.0
FOXF2	PSG7	-|			Repression	-|	1.0
FOXF2	WASF2	->			Activation	->	1.0
FOXO1	ADIPOR1	->			Activation	->	1.0
FOXO1	ANGPT1	->	activated by; inhibite (Target activates Source)	Activation			
FOXO1	AR	-|	activate; inhibited by (Target inhibits Source)	Inhibition	Repression	-|	1.0
FOXO1	BCL2L11	->	GErel: expression by (Swapped)	Activation			
FOXO1	CDKN1B	->			Activation	->	1.0
FOXO1	CXCR4	->			Activation	->	1.0
FOXO1	EGR1	-|			Repression	-|	1.0
FOXO1	FABP4	->			Activation	->	1.0
FOXO1	FOXA2	-|	activate; inhibited by (Target inhibits Source)	Inhibition			
FOXO1	FSHB	-|			Repression	-|	1.0
FOXO1	GABARAPL1	->	GErel: expression	Activation			
FOXO1	GADD45B	->	GErel: expression	Activation			
FOXO1	IGFBP1	->			Activation	->	1.0
FOXO1	IL6	->			Activation	->	1.0
FOXO1	KLF2	->	GErel: expression	Activation			
FOXO1	NR3C1	->	complex; input; reaction (Complex interaction)	Activation			
FOXO1	S1PR1	->	GErel: expression	Activation			
FOXO1	SMAD3	->	PPrel: binding/association; complex; input; reaction (Binding/Association)	Activation			
FOXO1	TNFSF10	->	GErel: expression	Activation	Activation	->	1.0
FOXO1	TXNIP	-|			Repression	-|	1.0
FOXP2	CNTNAP2	-|			Repression	-|	1.0
FOXP2	MET	-|			Repression	-|	1.0
FOXP2	NKX2-1	-|			Repression	-|	1.0
FOXP2	PLAUR	->			Activation	->	1.0
FOXP2	SRPX	->			Activation	->	1.0
FOXQ1	BCL11A	->			Activation	->	1.0
FOXQ1	RSPO2	->			Activation	->	1.0
FOXQ1	TWIST1	->			Activation	->	1.0
FOXQ1	VEGFA	->			Activation	->	1.0
FOXQ1	WNT3A	->			Activation	->	1.0
FST	INHBA	-|	PPrel: inhibition; complex; input	Inhibition			
FST	INHBB	-|	PPrel: inhibition; complex; input	Inhibition			
FST	RGMB	->	complex; input (Complex interaction)	Activation			
FURIN	AGRN	->	catalyzed by (Swapped)	Activation			
FURIN	FBN1	->	catalyzed by (Swapped)	Activation			
FURIN	FLG	->	catalyzed by (Swapped)	Activation			
FURIN	GPC1	->	catalyze	Activation			
FURIN	GPC6	->	catalyze	Activation			
FURIN	HSPG2	->	catalyze	Activation			
FURIN	NGF	->	activate; catalyze	Activation			
FURIN	NOTCH2	->	catalyze	Activation			
FURIN	PDGFA	->	catalyze	Activation			
FURIN	PDGFB	->	catalyze	Activation			
FURIN	SDC2	->	catalyze	Activation			
FURIN	SDC3	->	catalyze	Activation			
FZD1	LRP5	->	PPrel: binding/association; complex; input (Binding/Association)	Activation			
FZD3	LRP5	->	PPrel: binding/association; complex; input (Binding/Association)	Activation			
FZD5	LRP5	->	PPrel: binding/association; complex; input (Binding/Association)	Activation			
FZD5	PARD6A	->	activate	Activation			
FZD8	LRP5	->	PPrel: binding/association; complex; input (Binding/Association)	Activation			
GABARAPL1	GABRE	->	PPrel: binding/association (Binding/Association)	Activation			
GABARAPL1	SQSTM1	->	PPrel: binding/association (Binding/Association)	Activation			
GABRE	PLCL1	->	PPrel: binding/association (Binding/Association)	Activation			
