source	target	interaction	Annotation	Regulation
CAV1	COL4A6	->	complex; input (Complex interaction)	Activation
CAV1	COL5A1	->	complex; input (Complex interaction)	Activation
CAV1	COL6A2	->	complex; input (Complex interaction)	Activation
CAV1	COL6A3	->	complex; input (Complex interaction)	Activation
CAV1	COL8A1	->	complex; input (Complex interaction)	Activation
CAV1	DMBT1	->	complex; input (Complex interaction)	Activation
CAV1	FN1	->	complex; input (Complex interaction)	Activation
CAV1	FZD5	->	activate; complex	Activation
GPC1	CAV1	->	PPrel: activated, indirect effect (Swapped)	Activation
IRS1	CAV1	->	activated by (Swapped)	Activation
CAV1	ITGA2	->	complex; input (Complex interaction)	Activation
CAV1	ITGA6	->	complex; input (Complex interaction)	Activation
CAV1	ITGB3	->	PPrel: binding/association (Binding/Association)	Activation
CAV1	ITGB8	->	PPrel: binding/association; complex; input (Binding/Association)	Activation
CAV1	ITGBL1	->	complex; input (Complex interaction)	Activation
CAV1	LAMA1	->	complex; input (Complex interaction)	Activation
CAV1	LAMA3	->	complex; input (Complex interaction)	Activation
CAV1	LAMA5	->	complex; input (Complex interaction)	Activation
CAV1	LAMB2	->	complex; input (Complex interaction)	Activation
CAV1	LAMC2	->	complex; input (Complex interaction)	Activation
PRNP	CAV1	->	PPrel: activated by (Swapped)	Activation
SDC2	CAV1	->	PPrel: activated, indirect effect (Swapped)	Activation
CAV1	SMAD3	->	input (Input/Compound interaction)	Activation
CAV1	SMAD7	->	complex; input (Complex interaction)	Activation
CAV1	TNFRSF1A	->	activate	Activation
CBL	DNAJC6	->	complex; input (Complex interaction)	Activation
EFNA1	CBL	->	activated by (Swapped)	Activation
EPOR	CBL	->	activated by (Swapped)	Activation
CBL	ERBB4	->	catalyze	Activation
CBL	EREG	->	complex; input (Complex interaction)	Activation
CBL	FGF20	->	complex; input (Complex interaction)	Activation
CBL	FGF5	->	complex; input (Complex interaction)	Activation
CBL	FGFR2	->	PPrel: binding/association; PPrel: ubiquitination; complex; input (Binding/Association)	Activation
CBL	FLT1	->	complex; input (Complex interaction)	Activation
CBL	HIP1	->	complex; input (Complex interaction)	Activation
CBL	HIP1R	->	complex; input (Complex interaction)	Activation
CBL	HLA-A	->	complex; input (Complex interaction)	Activation
HLA-DRA	CBL	->	activated by; complex; input (Swapped)	Activation
HLA-DRB1	CBL	->	activated by; complex; input (Swapped)	Activation
CBL	IL6	->	complex; input (Complex interaction)	Activation
CBL	IL6R	->	complex; input (Complex interaction)	Activation
IRS1	CBL	->	activated by (Swapped)	Activation
CBL	ITGB3	->	complex; input (Complex interaction)	Activation
ITSN1	CBL	->	activated by; complex; input (Swapped)	Activation
JAK1	CBL	->	activated by; complex; input (Swapped)	Activation
KDR	CBL	-|	complex; inhibited by; input (Target inhibits Source)	Inhibition
CBL	KITLG	->	complex; input (Complex interaction)	Activation
CBL	KL	->	complex; input (Complex interaction)	Activation
LRIG1	CBL	->	activated by (Swapped)	Activation
CBL	MYC	-|	PPrel: inhibition, indirect effect	Inhibition
CBL	PDGFB	->	complex; input (Complex interaction)	Activation
CBL	PLCG1	->	activate; input	Activation
PTPN3	CBL	->	catalyzed by (Swapped)	Activation
CBL	REPS2	->	complex (Complex interaction)	Activation
CBL	SDC2	->	complex; input (Complex interaction)	Activation
CBL	SH3KBP1	->	activate; complex; input	Activation
SOCS3	CBL	-|	inhibited by (Target inhibits Source)	Inhibition
CBL	SPRY1	->	catalyze; complex; inhibited by; input (Source activates Target)	Activation
SPRY1	CBL	-|	catalyze; complex; inhibited by; input (Target inhibits Source)	Inhibition
CBL	STAM	->	complex; input (Complex interaction)	Activation
CBL	SYNJ1	->	complex; input (Complex interaction)	Activation
CBL	SYNJ2	->	complex; input (Complex interaction)	Activation
CBL	TGFA	->	complex; input (Complex interaction)	Activation
VEGFA	CBL	-|	complex; inhibited by; input (Target inhibits Source)	Inhibition
CBLB	CD40	->	complex; input (Complex interaction)	Activation
CBLB	ERBB4	->	catalyze	Activation
CBLB	FGFR2	->	PPrel: binding/association; PPrel: ubiquitination (Binding/Association)	Activation
CBLB	SH3KBP1	->	complex (Complex interaction)	Activation
JUN	CBX5	->	expression regulated by (Swapped)	Activation
MYC	CBX5	->	expression regulated by (Swapped)	Activation
TCF7L2	CBX5	->	expression regulated by (Swapped)	Activation
CCL26	CCR1	->	PPrel: activation, binding/association; complex; input	Activation
CCL26	CXCR4	->	PPrel: activation, binding/association; complex; input	Activation
CCL26	GNA15	->	complex; input (Complex interaction)	Activation
CCND3	CDKN1C	->	PPrel: binding/association (Binding/Association)	Activation
EGR1	CCND3	->	expression regulated by (Swapped)	Activation
FLI1	CCND3	->	expression regulated by (Swapped)	Activation
JUN	CCND3	->	GErel: expression by (Swapped)	Activation
LEF1	CCND3	->	GErel: expression by (Swapped)	Activation
CCND3	PPARG	->	reaction (Complex interaction)	Activation
CCND3	PPARGC1A	->	reaction (Complex interaction)	Activation
STAT4	CCND3	->	GErel: expression by (Swapped)	Activation
TCF7	CCND3	->	GErel: expression by (Swapped)	Activation
TCF7L2	CCND3	->	GErel: expression by (Swapped)	Activation
CXCL16	CCR1	->	PPrel: activated binding/association (Swapped)	Activation
CCR1	GNA15	->	complex (Complex interaction)	Activation
GPSM3	CCR1	-|	inhibited by (Target inhibits Source)	Inhibition
CD180	CD14	-|	inhibited by (Target inhibits Source)	Inhibition
CD14	SARM1	->	complex; input; reaction (Complex interaction)	Activation
SIGIRR	CD14	-|	inhibited by (Target inhibits Source)	Inhibition
CD14	TLR1	->	activate; complex; input	Activation
CD14	TLR4	->	PPrel: activation; activate; complex; input	Activation
CD14	TLR6	->	activate; complex; input	Activation
CD177	PECAM1	->	complex; input (Complex interaction)	Activation
CD180	TLR4	-|	inhibite	Inhibition
CD24	L1CAM	->	complex; input (Complex interaction)	Activation
CD274	HLA-DPA1	->	catalyze	Activation
CD274	HLA-DPB1	->	catalyze	Activation
CD274	HLA-DRA	->	catalyze	Activation
CD274	HLA-DRB1	->	catalyze	Activation
CD274	HLA-DRB5	->	catalyze	Activation
JUN	CD274	->	GErel: expression by (Swapped)	Activation
NFATC1	CD274	->	GErel: expression by (Swapped)	Activation
CD274	PTPN6	->	complex; input (Complex interaction)	Activation
JUN	CD40	->	GErel: expression by (Swapped)	Activation
COL4A3	CD44	->	PPrel: activated by (Swapped)	Activation
COL4A4	CD44	->	PPrel: activated by (Swapped)	Activation
COL4A5	CD44	->	PPrel: activated by (Swapped)	Activation
COL4A6	CD44	->	PPrel: activated by (Swapped)	Activation
COL6A2	CD44	->	PPrel: activated by (Swapped)	Activation
COL6A3	CD44	->	PPrel: activated by (Swapped)	Activation
EGR1	CD44	->	expression regulated by (Swapped)	Activation
FN1	CD44	->	PPrel: activated by (Swapped)	Activation
JUN	CD44	->	GErel: expression by (Swapped)	Activation
LAMA1	CD44	->	PPrel: activated by (Swapped)	Activation
LAMA3	CD44	->	PPrel: activated by (Swapped)	Activation
LAMA5	CD44	->	PPrel: activated by (Swapped)	Activation
LAMB2	CD44	->	PPrel: activated by (Swapped)	Activation
LAMC2	CD44	->	PPrel: activated by (Swapped)	Activation
MMP15	CD44	->	catalyzed by (Swapped)	Activation
ZEB1	CD44	->	expression regulated by (Swapped)	Activation
CD59	SPTB	->	complex; input (Complex interaction)	Activation
CD59	SPTBN5	->	complex; input (Complex interaction)	Activation
CTSS	CD74	->	PPrel: activated by; catalyzed by (Swapped)	Activation
CD74	HLA-DMA	->	input (Input/Compound interaction)	Activation
HLA-DMB	CD74	->	PPrel: activated by; PPrel: binding/association; input (Swapped)	Activation
HLA-DOA	CD74	->	PPrel: activated by; PPrel: binding/association; input (Swapped)	Activation
HLA-DPA1	CD74	->	PPrel: activated by; PPrel: binding/association; complex; input (Swapped)	Activation
HLA-DPB1	CD74	->	PPrel: activated by; PPrel: binding/association; complex; input (Swapped)	Activation
HLA-DRA	CD74	->	PPrel: activated by; PPrel: binding/association; complex; input (Swapped)	Activation
HLA-DRB1	CD74	->	PPrel: activated by; PPrel: binding/association; complex; input (Swapped)	Activation
HLA-DRB5	CD74	->	PPrel: activated by; PPrel: binding/association; complex; input (Swapped)	Activation
MEF2C	CD74	->	expression regulated by (Swapped)	Activation
POU2F2	CD74	->	expression regulated by (Swapped)	Activation
PPARG	CD83	->	expression regulated by (Swapped)	Activation
CDH1	CDH11	->	input (Input/Compound interaction)	Activation
CDH1	CDH19	->	input (Input/Compound interaction)	Activation
CDH1	CDH4	->	input (Input/Compound interaction)	Activation
CDH1	CELSR1	->	input (Input/Compound interaction)	Activation
CDH1	EFNA1	->	activate	Activation
CDH1	ENAH	->	activate	Activation
CDH1	F2RL2	->	complex (Complex interaction)	Activation
GFRA1	CDH1	->	activated by (Swapped)	Activation
CDH1	JUP	->	PPrel: binding/association; complex; input (Binding/Association)	Activation
CDH1	LIMA1	->	complex; input (Complex interaction)	Activation
MMP15	CDH1	->	catalyzed by (Swapped)	Activation
MMP3	CDH1	->	activated by; catalyzed by (Swapped)	Activation
MMP8	CDH1	->	catalyzed by (Swapped)	Activation
CDH1	PARD6A	->	complex (Complex interaction)	Activation
CDH1	PCDH1	->	input (Input/Compound interaction)	Activation
CDH1	PCDH7	->	input (Input/Compound interaction)	Activation
CDH1	PCDH9	->	input (Input/Compound interaction)	Activation
CDH1	PLEKHA7	->	activate	Activation
SMAD3	CDH1	-|	GErel: repressed by (Target inhibits Source)	Inhibition
CDH11	CDH19	->	input (Input/Compound interaction)	Activation
CDH11	CDH4	->	input (Input/Compound interaction)	Activation
CDH11	CELSR1	->	input (Input/Compound interaction)	Activation
CDH11	JUP	->	complex; input (Complex interaction)	Activation
CDH11	PCDH1	->	input (Input/Compound interaction)	Activation
CDH11	PCDH7	->	input (Input/Compound interaction)	Activation
CDH11	PCDH9	->	input (Input/Compound interaction)	Activation
CDH19	CDH4	->	input (Input/Compound interaction)	Activation
CDH19	CELSR1	->	input (Input/Compound interaction)	Activation
CDH19	PCDH1	->	input (Input/Compound interaction)	Activation
CDH19	PCDH7	->	input (Input/Compound interaction)	Activation
CDH19	PCDH9	->	input (Input/Compound interaction)	Activation
CDH4	CELSR1	->	input (Input/Compound interaction)	Activation
CDH4	JUP	->	complex; input (Complex interaction)	Activation
CDH4	PCDH1	->	input (Input/Compound interaction)	Activation
CDH4	PCDH7	->	input (Input/Compound interaction)	Activation
CDH4	PCDH9	->	input (Input/Compound interaction)	Activation
CDON	GAS8	->	reaction (Complex interaction)	Activation
CDON	GLI2	->	activate	Activation
IHH	CDON	->	PPrel: activated by (Swapped)	Activation
CDON	KIF3A	->	reaction (Complex interaction)	Activation
CDON	PTCH2	->	PPrel: binding/association (Binding/Association)	Activation
CDON	SPAG9	->	complex; input (Complex interaction)	Activation
CEACAM1	FN1	->	activate	Activation
HEY1	CEACAM1	->	expression regulated by (Swapped)	Activation
MEF2C	CELF2	->	expression regulated by (Swapped)	Activation
CELSR1	PCDH1	->	input (Input/Compound interaction)	Activation
CELSR1	PCDH7	->	input (Input/Compound interaction)	Activation
CELSR1	PCDH9	->	input (Input/Compound interaction)	Activation
ETV4	CETP	->	expression regulated by (Swapped)	Activation
RARB	CETP	->	expression regulated by (Swapped)	Activation
TNFSF10	CFLAR	->	activated by; complex; inhibit; input; reaction (Target activates Source)	Activation
CFLAR	TNFSF10	-|	activated by; complex; inhibit; input; reaction (Source inhibits Target)	Inhibition
POFUT2	CFP	->	catalyzed by (Swapped)	Activation
CGA	GIPR	->	PPrel: activation	Activation
CGA	HSD17B3	->	activate	Activation
CGA	HSD3B1	->	activate	Activation
CGA	PTGER2	->	PPrel: activation	Activation
CGN	F11R	->	complex (Complex interaction)	Activation
CGN	PARD6A	->	complex (Complex interaction)	Activation
DENND1B	CHML	->	catalyzed by (Swapped)	Activation
DENND2A	CHML	->	catalyzed by (Swapped)	Activation
MADD	CHML	->	catalyzed by (Swapped)	Activation
CHML	RAB27A	->	complex (Complex interaction)	Activation
CHML	RAB3A	->	complex; input (Complex interaction)	Activation
RIN1	CHML	->	catalyzed by (Swapped)	Activation
RIN3	CHML	->	catalyzed by (Swapped)	Activation
CHPF	CSPG4	->	catalyze	Activation
CHRDL1	RGMB	->	input (Input/Compound interaction)	Activation
CHST11	CSPG4	->	catalyze	Activation
CHST2	LUM	->	catalyze	Activation
CIITA	HLA-DMB	->	GErel: expression	Activation
CIITA	HLA-DOA	->	GErel: expression	Activation
CIITA	HLA-DPA1	->	GErel: expression	Activation
CIITA	HLA-DPB1	->	GErel: expression	Activation
CIITA	HLA-DRA	->	GErel: expression	Activation
CIITA	HLA-DRB1	->	GErel: expression	Activation
CIITA	HLA-DRB5	->	GErel: expression	Activation
MEF2C	CIITA	->	expression regulated by (Swapped)	Activation
POU2F2	CIITA	->	expression regulated by (Swapped)	Activation
FOXA2	CITED2	->	expression regulated by (Swapped)	Activation
CITED2	JUN	->	activate; inhibited by (Source activates Target)	Activation
JUN	CITED2	-|	activate; inhibited by (Target inhibits Source)	Inhibition
CITED2	TFAP2C	->	complex; input (Complex interaction)	Activation
CLDN1	F11R	->	complex; input (Complex interaction)	Activation
CLDN1	TJP3	->	PPrel: binding/association (Binding/Association)	Activation
CLDN4	TJP3	->	PPrel: binding/association (Binding/Association)	Activation
CLIC5	EPB41L1	->	complex (Complex interaction)	Activation
CLIC5	GSN	->	complex (Complex interaction)	Activation
CLIC5	MPP1	->	complex (Complex interaction)	Activation
CLIC5	MSN	->	complex (Complex interaction)	Activation
CLIC5	MYO7A	->	complex (Complex interaction)	Activation
GATA2	CLU	->	expression regulated by (Swapped)	Activation
JUN	CLU	->	expression regulated by (Swapped)	Activation
MYBL2	CLU	->	expression regulated by (Swapped)	Activation
CLU	SEMG1	->	complex (Complex interaction)	Activation
EGR1	CNTN1	->	expression regulated by (Swapped)	Activation
JUN	CNTN1	->	expression regulated by (Swapped)	Activation
CNTN1	L1CAM	->	complex; input (Complex interaction)	Activation
CNTN1	NOTCH2	->	complex; input (Complex interaction)	Activation
CNTN1	NRCAM	->	PPrel: activation	Activation
COL12A1	DMBT1	->	complex; input (Complex interaction)	Activation
COL12A1	FLNB	->	complex; input (Complex interaction)	Activation
COL12A1	FN1	->	complex (Complex interaction)	Activation
COL12A1	ITGA2	->	complex; input (Complex interaction)	Activation
COL12A1	ITGA6	->	complex; input (Complex interaction)	Activation
COL12A1	ITGB8	->	complex; input (Complex interaction)	Activation
COL12A1	ITGBL1	->	complex; input (Complex interaction)	Activation
COL12A1	LAMA1	->	complex (Complex interaction)	Activation
COL12A1	LAMA3	->	complex (Complex interaction)	Activation
COL12A1	LAMA5	->	complex (Complex interaction)	Activation
COL12A1	LAMB2	->	complex (Complex interaction)	Activation
COL12A1	LAMC2	->	complex (Complex interaction)	Activation
MMP12	COL12A1	->	catalyzed by (Swapped)	Activation
PTK2B	COL12A1	->	catalyzed by; complex; input (Swapped)	Activation
COL17A1	DMBT1	->	complex; input (Complex interaction)	Activation
COL17A1	FLNB	->	complex; input (Complex interaction)	Activation
COL17A1	FN1	->	complex (Complex interaction)	Activation
COL17A1	ITGA2	->	complex; input (Complex interaction)	Activation
COL17A1	ITGA6	->	complex; input (Complex interaction)	Activation
COL17A1	ITGB8	->	complex; input (Complex interaction)	Activation
COL17A1	ITGBL1	->	complex; input (Complex interaction)	Activation
COL17A1	LAMA1	->	complex (Complex interaction)	Activation
COL17A1	LAMA3	->	complex; input (Complex interaction)	Activation
COL17A1	LAMA5	->	complex (Complex interaction)	Activation
COL17A1	LAMB2	->	complex (Complex interaction)	Activation
COL17A1	LAMC2	->	complex; input (Complex interaction)	Activation
PTK2B	COL17A1	->	catalyzed by; complex; input (Swapped)	Activation
COL27A1	DMBT1	->	complex; input (Complex interaction)	Activation
COL27A1	FLNB	->	complex; input (Complex interaction)	Activation
COL27A1	FN1	->	complex (Complex interaction)	Activation
COL27A1	ITGA2	->	complex; input (Complex interaction)	Activation
COL27A1	ITGA6	->	complex; input (Complex interaction)	Activation
COL27A1	ITGB8	->	complex; input (Complex interaction)	Activation
COL27A1	ITGBL1	->	complex; input (Complex interaction)	Activation
COL27A1	LAMA1	->	complex (Complex interaction)	Activation
COL27A1	LAMA3	->	complex (Complex interaction)	Activation
COL27A1	LAMA5	->	complex (Complex interaction)	Activation
COL27A1	LAMB2	->	complex (Complex interaction)	Activation
COL27A1	LAMC2	->	complex (Complex interaction)	Activation
PTK2B	COL27A1	->	catalyzed by; complex; input (Swapped)	Activation
COL3A1	DMBT1	->	complex; input (Complex interaction)	Activation
COL3A1	FLNB	->	complex; input (Complex interaction)	Activation
COL3A1	FN1	->	complex (Complex interaction)	Activation
COL3A1	ITGA2	->	PPrel: activation; complex; input	Activation
COL3A1	ITGA6	->	complex; input (Complex interaction)	Activation
COL3A1	ITGB8	->	complex; input (Complex interaction)	Activation
COL3A1	ITGBL1	->	complex; input (Complex interaction)	Activation
COL3A1	LAMA1	->	complex (Complex interaction)	Activation
COL3A1	LAMA3	->	complex (Complex interaction)	Activation
COL3A1	LAMA5	->	complex (Complex interaction)	Activation
COL3A1	LAMB2	->	complex (Complex interaction)	Activation
COL3A1	LAMC2	->	complex (Complex interaction)	Activation
PTK2B	COL3A1	->	catalyzed by; complex; input (Swapped)	Activation
SMAD3	COL3A1	->	expression regulated by (Swapped)	Activation
COL4A3	COL4A4	->	complex; input (Complex interaction)	Activation
COL4A3	COL4A5	->	complex; input (Complex interaction)	Activation
COL4A3	COL4A6	->	complex; input (Complex interaction)	Activation
COL4A3	DMBT1	->	complex; input (Complex interaction)	Activation
COL4A3	FLNB	->	complex; input (Complex interaction)	Activation
COL4A3	FN1	->	complex (Complex interaction)	Activation
COL4A3	ITGA2	->	PPrel: activation; complex; input	Activation
COL4A3	ITGA6	->	PPrel: activation; complex; input	Activation
COL4A3	ITGB3	->	PPrel: activation; complex; input	Activation
COL4A3	ITGB8	->	PPrel: activation; complex; input	Activation
COL4A3	ITGBL1	->	complex; input (Complex interaction)	Activation
COL4A3	LAMA1	->	complex (Complex interaction)	Activation
COL4A3	LAMA3	->	complex (Complex interaction)	Activation
COL4A3	LAMA5	->	complex (Complex interaction)	Activation
COL4A3	LAMB2	->	complex (Complex interaction)	Activation
COL4A3	LAMC2	->	complex (Complex interaction)	Activation
COL4A3	PDGFA	->	complex; input (Complex interaction)	Activation
COL4A3	PDGFB	->	complex; input (Complex interaction)	Activation
PTK2B	COL4A3	->	catalyzed by; complex; input (Swapped)	Activation
COL4A4	COL4A5	->	complex; input (Complex interaction)	Activation
COL4A4	COL4A6	->	complex; input (Complex interaction)	Activation
COL4A4	DMBT1	->	complex; input (Complex interaction)	Activation
COL4A4	FLNB	->	complex; input (Complex interaction)	Activation
COL4A4	FN1	->	complex (Complex interaction)	Activation
COL4A4	ITGA2	->	PPrel: activation; complex; input	Activation
COL4A4	ITGA6	->	PPrel: activation; complex; input	Activation
COL4A4	ITGB3	->	PPrel: activation; complex; input	Activation
COL4A4	ITGB8	->	PPrel: activation; complex; input	Activation
COL4A4	ITGBL1	->	complex; input (Complex interaction)	Activation
COL4A4	LAMA1	->	complex (Complex interaction)	Activation
COL4A4	LAMA3	->	complex (Complex interaction)	Activation
COL4A4	LAMA5	->	complex (Complex interaction)	Activation
COL4A4	LAMB2	->	complex (Complex interaction)	Activation
COL4A4	LAMC2	->	complex (Complex interaction)	Activation
COL4A4	PDGFA	->	complex; input (Complex interaction)	Activation
COL4A4	PDGFB	->	complex; input (Complex interaction)	Activation
PTK2B	COL4A4	->	catalyzed by; complex; input (Swapped)	Activation
COL4A5	COL4A6	->	complex; input (Complex interaction)	Activation
COL4A5	DMBT1	->	complex; input (Complex interaction)	Activation
COL4A5	FLNB	->	complex; input (Complex interaction)	Activation
COL4A5	FN1	->	complex (Complex interaction)	Activation
COL4A5	ITGA2	->	PPrel: activation; complex; input	Activation
COL4A5	ITGA6	->	PPrel: activation; complex; input	Activation
COL4A5	ITGB3	->	PPrel: activation; complex; input	Activation
COL4A5	ITGB8	->	PPrel: activation; complex; input	Activation
COL4A5	ITGBL1	->	complex; input (Complex interaction)	Activation
COL4A5	LAMA1	->	complex (Complex interaction)	Activation
COL4A5	LAMA3	->	complex (Complex interaction)	Activation
COL4A5	LAMA5	->	complex (Complex interaction)	Activation
COL4A5	LAMB2	->	complex (Complex interaction)	Activation
COL4A5	LAMC2	->	complex (Complex interaction)	Activation
COL4A5	PDGFA	->	complex; input (Complex interaction)	Activation
COL4A5	PDGFB	->	complex; input (Complex interaction)	Activation
PTK2B	COL4A5	->	catalyzed by; complex; input (Swapped)	Activation
COL4A6	DMBT1	->	complex; input (Complex interaction)	Activation
COL4A6	FLNB	->	complex; input (Complex interaction)	Activation
COL4A6	FN1	->	complex (Complex interaction)	Activation
COL4A6	ITGA2	->	PPrel: activation; complex; input	Activation
COL4A6	ITGA6	->	PPrel: activation; complex; input	Activation
COL4A6	ITGB3	->	PPrel: activation; complex; input	Activation
COL4A6	ITGB8	->	PPrel: activation; complex; input	Activation
COL4A6	ITGBL1	->	complex; input (Complex interaction)	Activation
COL4A6	LAMA1	->	complex (Complex interaction)	Activation
COL4A6	LAMA3	->	complex (Complex interaction)	Activation
COL4A6	LAMA5	->	complex (Complex interaction)	Activation
COL4A6	LAMB2	->	complex (Complex interaction)	Activation
COL4A6	LAMC2	->	complex (Complex interaction)	Activation
PTK2B	COL4A6	->	catalyzed by; complex; input (Swapped)	Activation
COL5A1	DMBT1	->	complex; input (Complex interaction)	Activation
COL5A1	FLNB	->	complex; input (Complex interaction)	Activation
COL5A1	FN1	->	complex (Complex interaction)	Activation
COL5A1	ITGA2	->	complex; input (Complex interaction)	Activation
COL5A1	ITGA6	->	complex; input (Complex interaction)	Activation
COL5A1	ITGB8	->	complex; input (Complex interaction)	Activation
COL5A1	ITGBL1	->	complex; input (Complex interaction)	Activation
COL5A1	LAMA1	->	complex (Complex interaction)	Activation
COL5A1	LAMA3	->	complex (Complex interaction)	Activation
COL5A1	LAMA5	->	complex (Complex interaction)	Activation
COL5A1	LAMB2	->	complex (Complex interaction)	Activation
COL5A1	LAMC2	->	complex (Complex interaction)	Activation
PTK2B	COL5A1	->	catalyzed by; complex; input (Swapped)	Activation
COL6A2	COL6A3	->	complex; input (Complex interaction)	Activation
COL6A2	DMBT1	->	complex; input (Complex interaction)	Activation
COL6A2	FLNB	->	complex; input (Complex interaction)	Activation
COL6A2	FN1	->	complex (Complex interaction)	Activation
COL6A2	ITGA2	->	PPrel: activation; complex; input	Activation
COL6A2	ITGA6	->	PPrel: activation; complex; input	Activation
COL6A2	ITGB3	->	PPrel: activation	Activation
COL6A2	ITGB8	->	PPrel: activation; complex; input	Activation
COL6A2	ITGBL1	->	complex; input (Complex interaction)	Activation
COL6A2	LAMA1	->	complex (Complex interaction)	Activation
COL6A2	LAMA3	->	complex (Complex interaction)	Activation
COL6A2	LAMA5	->	complex (Complex interaction)	Activation
COL6A2	LAMB2	->	complex (Complex interaction)	Activation
COL6A2	LAMC2	->	complex (Complex interaction)	Activation
COL6A2	PDGFA	->	complex; input (Complex interaction)	Activation
COL6A2	PDGFB	->	complex; input (Complex interaction)	Activation
PTK2B	COL6A2	->	catalyzed by; complex; input (Swapped)	Activation
COL6A3	DMBT1	->	complex; input (Complex interaction)	Activation
COL6A3	FLNB	->	complex; input (Complex interaction)	Activation
COL6A3	FN1	->	complex (Complex interaction)	Activation
COL6A3	ITGA2	->	PPrel: activation; complex; input	Activation
COL6A3	ITGA6	->	PPrel: activation; complex; input	Activation
COL6A3	ITGB3	->	PPrel: activation	Activation
COL6A3	ITGB8	->	PPrel: activation; complex; input	Activation
COL6A3	ITGBL1	->	complex; input (Complex interaction)	Activation
COL6A3	LAMA1	->	complex (Complex interaction)	Activation
COL6A3	LAMA3	->	complex (Complex interaction)	Activation
COL6A3	LAMA5	->	complex (Complex interaction)	Activation
COL6A3	LAMB2	->	complex (Complex interaction)	Activation
COL6A3	LAMC2	->	complex (Complex interaction)	Activation
COL6A3	PDGFA	->	complex; input (Complex interaction)	Activation
COL6A3	PDGFB	->	complex; input (Complex interaction)	Activation
PTK2B	COL6A3	->	catalyzed by; complex; input (Swapped)	Activation
SMAD3	COL6A3	->	expression regulated by (Swapped)	Activation
COL8A1	DMBT1	->	complex; input (Complex interaction)	Activation
COL8A1	FLNB	->	complex; input (Complex interaction)	Activation
COL8A1	FN1	->	complex (Complex interaction)	Activation
COL8A1	ITGA2	->	complex; input (Complex interaction)	Activation
COL8A1	ITGA6	->	complex; input (Complex interaction)	Activation
COL8A1	ITGB8	->	complex; input (Complex interaction)	Activation
COL8A1	ITGBL1	->	complex; input (Complex interaction)	Activation
COL8A1	LAMA1	->	complex (Complex interaction)	Activation
COL8A1	LAMA3	->	complex (Complex interaction)	Activation
COL8A1	LAMA5	->	complex (Complex interaction)	Activation
COL8A1	LAMB2	->	complex (Complex interaction)	Activation
COL8A1	LAMC2	->	complex (Complex interaction)	Activation
PTK2B	COL8A1	->	catalyzed by; complex; input (Swapped)	Activation
COQ10B	NDUFC2	->	activate	Activation
CRADD	MADD	->	complex; input (Complex interaction)	Activation
CRADD	SMPD1	->	activate	Activation
CRADD	SMPD3	->	activate	Activation
CRADD	TNFRSF1A	->	complex; input; reaction (Complex interaction)	Activation
CRB3	PARD6A	->	PPrel: binding/association (Binding/Association)	Activation
CREB3L1	EGR1	->	GErel: expression	Activation
CREB3L1	JUN	->	GErel: expression	Activation
MAPK13	CREB3L1	->	PPrel: activated, indirect effect (Swapped)	Activation
CREB3L1	NCEH1	->	GErel: expression	Activation
CREB3L1	PPARGC1A	->	GErel: expression; PPrel: activation, indirect effect	Activation
PRKCG	CREB3L1	->	PPrel: activated by (Swapped)	Activation
PRKG1	CREB3L1	->	PPrel: activated by, phosphorylation (Swapped)	Activation
RPS6KA5	CREB3L1	->	PPrel: activated by; PPrel: activated by, phosphorylation (Swapped)	Activation
CREB3L1	TAF4B	->	complex (Complex interaction)	Activation
CREB3L1	VEGFA	->	GErel: expression	Activation
CSF3	EPOR	->	PPrel: activation	Activation
CSF3	IFNAR2	->	PPrel: activation	Activation
CSF3	IFNGR2	->	PPrel: activation	Activation
CSF3	IFNLR1	->	PPrel: activation	Activation
CSF3	IL6R	->	PPrel: activation	Activation
CSF3	JAK1	->	PPrel: activation; catalyze; catalyzed by; complex; input (Bidirectional Activation)	Activation
JAK1	CSF3	->	PPrel: activation; catalyze; catalyzed by; complex; input (Bidirectional Activation)	Activation
CSF3	LIFR	->	PPrel: activation	Activation
NR3C1	CSF3	->	expression regulated by (Swapped)	Activation
CSF3	SOCS3	->	complex; input; reaction (Complex interaction)	Activation
JUN	CSPG4	->	expression regulated by (Swapped)	Activation
CTSS	HLA-DPA1	->	catalyze	Activation
CTSS	HLA-DPB1	->	catalyze	Activation
CTSS	HLA-DRA	->	catalyze	Activation
CTSS	HLA-DRB1	->	catalyze	Activation
CTSS	HLA-DRB5	->	catalyze	Activation
CTSS	HSPG2	->	catalyze	Activation
CUL4B	ERCC6	->	complex; input (Complex interaction)	Activation
INO80C	CUL4B	->	activated by (Swapped)	Activation
CXCL16	CXCR4	->	PPrel: activation, binding/association	Activation
GPSM3	CXCL16	-|	inhibited by (Target inhibits Source)	Inhibition
DNM1	CXCR4	->	activated by (Swapped)	Activation
CXCR4	EDN1	->	complex; input (Complex interaction)	Activation
CXCR4	GNA15	->	PPrel: activation; complex	Activation
GPSM3	CXCR4	-|	inhibited by (Target inhibits Source)	Inhibition
JUN	CXCR4	->	expression regulated by (Swapped)	Activation
MYC	CXCR4	->	expression regulated by (Swapped)	Activation
CXCR4	PTPN6	->	complex; input (Complex interaction)	Activation
CXCR4	ROBO1	->	complex; input (Complex interaction)	Activation
MYC	CYB561	->	expression regulated by (Swapped)	Activation
