Gene1	Gene2	Annotation	Direction	Score
CBL	SPRY1	catalyze; complex; inhibited by; input	|->	1.0
CBL	STAM	complex; input	-	1.0
CBL	SYNJ1	complex; input	-	1.0
CBL	SYNJ2	complex; input	-	1.0
CBL	TGFA	complex; input	-	1.0
CBL	VEGFA	complex; inhibited by; input	|-	1.0
CBLB	CD40	complex; input	-	1.0
CBLB	ERBB4	catalyze	->	1.0
CBLB	FGFR2	PPrel: binding/association; PPrel: ubiquitination	-	1.0
CBLB	NLRP3	predicted	-	0.91
CBLB	SH3KBP1	complex	-	1.0
CBX5	JUN	expression regulated by	<-	1.0
CBX5	MYC	expression regulated by	<-	1.0
CBX5	TCF7L2	expression regulated by	<-	1.0
CCL26	CCR1	PPrel: activation, binding/association; complex; input	->	1.0
CCL26	CXCR4	PPrel: activation, binding/association; complex; input	->	1.0
CCL26	GNA15	complex; input	-	1.0
CCND3	CDKN1C	PPrel: binding/association	-	1.0
CCND3	EGR1	expression regulated by	<-	1.0
CCND3	FLI1	expression regulated by	<-	1.0
CCND3	JUN	GErel: expression by	<-	1.0
CCND3	LEF1	GErel: expression by	<-	1.0
CCND3	PPARG	reaction	-	1.0
CCND3	PPARGC1A	reaction	-	1.0
CCND3	STAT4	GErel: expression by	<-	1.0
CCND3	TCF7	GErel: expression by	<-	1.0
CCND3	TCF7L2	GErel: expression by	<-	1.0
CCR1	CD14	predicted	-	0.91
CCR1	CD180	predicted	-	0.9
CCR1	CXCL16	PPrel: activated binding/association	<-	1.0
CCR1	CXCR4	predicted	-	0.92
CCR1	GNA15	complex	-	1.0
CCR1	GPSM3	inhibited by	|-	1.0
CCR1	JAK1	predicted	-	0.91
CD14	CD180	inhibited by	|-	1.0
CD14	SARM1	complex; input; reaction	-	1.0
CD14	SIGIRR	inhibited by	|-	1.0
CD14	TLR1	activate; complex; input	->	1.0
CD14	TLR4	PPrel: activation; activate; complex; input	->	1.0
CD14	TLR6	activate; complex; input	->	1.0
CD14	TNFRSF1B	predicted	-	0.92
CD177	PECAM1	complex; input	-	1.0
CD180	TLR4	inhibite	-|	1.0
CD24	L1CAM	complex; input	-	1.0
CD274	HLA-DPA1	catalyze	->	1.0
CD274	HLA-DPB1	catalyze	->	1.0
CD274	HLA-DRA	catalyze	->	1.0
CD274	HLA-DRB1	catalyze	->	1.0
CD274	HLA-DRB5	catalyze	->	1.0
CD274	JUN	GErel: expression by	<-	1.0
CD274	NFATC1	GErel: expression by	<-	1.0
CD274	PTPN6	complex; input	-	1.0
CD40	JUN	GErel: expression by	<-	1.0
CD44	COL4A3	PPrel: activated by	<-	1.0
CD44	COL4A4	PPrel: activated by	<-	1.0
CD44	COL4A5	PPrel: activated by	<-	1.0
CD44	COL4A6	PPrel: activated by	<-	1.0
CD44	COL6A2	PPrel: activated by	<-	1.0
CD44	COL6A3	PPrel: activated by	<-	1.0
CD44	EGR1	expression regulated by	<-	1.0
CD44	FN1	PPrel: activated by	<-	1.0
CD44	JUN	GErel: expression by	<-	1.0
CD44	LAMA1	PPrel: activated by	<-	1.0
CD44	LAMA3	PPrel: activated by	<-	1.0
CD44	LAMA5	PPrel: activated by	<-	1.0
CD44	LAMB2	PPrel: activated by	<-	1.0
CD44	LAMC2	PPrel: activated by	<-	1.0
CD44	MMP15	catalyzed by	<-	1.0
CD44	ZEB1	expression regulated by	<-	1.0
CD59	SPTB	complex; input	-	1.0
CD59	SPTBN5	complex; input	-	1.0
CD74	CIITA	predicted	-	0.91
CD74	CTSS	PPrel: activated by; catalyzed by	<-	1.0
CD74	HLA-DMA	input	-	1.0
CD74	HLA-DMB	PPrel: activated by; PPrel: binding/association; input	<-	1.0
CD74	HLA-DOA	PPrel: activated by; PPrel: binding/association; input	<-	1.0
CD74	HLA-DPA1	PPrel: activated by; PPrel: binding/association; complex; input	<-	1.0
CD74	HLA-DPB1	PPrel: activated by; PPrel: binding/association; complex; input	<-	1.0
CD74	HLA-DRA	PPrel: activated by; PPrel: binding/association; complex; input	<-	1.0
CD74	HLA-DRB1	PPrel: activated by; PPrel: binding/association; complex; input	<-	1.0
CD74	HLA-DRB5	PPrel: activated by; PPrel: binding/association; complex; input	<-	1.0
CD74	MEF2C	expression regulated by	<-	1.0
CD74	POU2F2	expression regulated by	<-	1.0
CD83	PPARG	expression regulated by	<-	1.0
CDH1	CDH11	input	-	1.0
CDH1	CDH19	input	-	1.0
CDH1	CDH4	input	-	1.0
CDH1	CELSR1	input	-	1.0
CDH1	DSG2	predicted	-	0.89
CDH1	EFNA1	activate	->	1.0
CDH1	ENAH	activate	->	1.0
CDH1	F2RL2	complex	-	1.0
CDH1	GFRA1	activated by	<-	1.0
CDH1	JUP	PPrel: binding/association; complex; input	-	1.0
CDH1	LIMA1	complex; input	-	1.0
CDH1	MMP15	catalyzed by	<-	1.0
CDH1	MMP3	activated by; catalyzed by	<-	1.0
CDH1	MMP8	catalyzed by	<-	1.0
CDH1	PARD6A	complex	-	1.0
CDH1	PCDH1	input	-	1.0
CDH1	PCDH7	input	-	1.0
CDH1	PCDH9	input	-	1.0
CDH1	PLEKHA7	activate	->	1.0
CDH1	SMAD3	GErel: repressed by	|-	1.0
CDH11	CDH19	input	-	1.0
CDH11	CDH4	input	-	1.0
CDH11	CELSR1	input	-	1.0
CDH11	JUP	complex; input	-	1.0
CDH11	PCDH1	input	-	1.0
CDH11	PCDH7	input	-	1.0
CDH11	PCDH9	input	-	1.0
CDH19	CDH4	input	-	1.0
CDH19	CELSR1	input	-	1.0
CDH19	PCDH1	input	-	1.0
CDH19	PCDH7	input	-	1.0
CDH19	PCDH9	input	-	1.0
CDH4	CELSR1	input	-	1.0
CDH4	JUP	complex; input	-	1.0
CDH4	PCDH1	input	-	1.0
CDH4	PCDH7	input	-	1.0
CDH4	PCDH9	input	-	1.0
CDK17	CDK18	predicted	-	0.96
CDK17	CDKL1	predicted	-	0.9
CDK17	CDKL2	predicted	-	0.9
CDK17	MAPK4	predicted	-	0.91
CDK18	MAPK4	predicted	-	0.91
CDKL1	CDKL2	predicted	-	0.9
CDKL1	NEK8	predicted	-	0.93
CDON	GAS8	reaction	-	1.0
CDON	GLI2	activate	->	1.0
CDON	IHH	PPrel: activated by	<-	1.0
CDON	KIF3A	reaction	-	1.0
CDON	PTCH2	PPrel: binding/association	-	1.0
CDON	SPAG9	complex; input	-	1.0
CEACAM1	FN1	activate	->	1.0
CEACAM1	HEY1	expression regulated by	<-	1.0
CELF2	MEF2C	expression regulated by	<-	1.0
CELF2	RBM47	predicted	-	0.9
CELSR1	PCDH1	input	-	1.0
CELSR1	PCDH7	input	-	1.0
CELSR1	PCDH9	input	-	1.0
CETP	ETV4	expression regulated by	<-	1.0
CETP	RARB	expression regulated by	<-	1.0
CFB	CFP	predicted	-	0.91
CFLAR	TNFSF10	activated by; complex; inhibit; input; reaction	<-|	1.0
CFP	POFUT2	catalyzed by	<-	1.0
CGA	GIPR	PPrel: activation	->	1.0
CGA	HSD17B3	activate	->	1.0
CGA	HSD3B1	activate	->	1.0
CGA	INHBA	activated by; inhibited by	-	1.0
CGA	INHBB	activated by; inhibited by	-	1.0
CGA	PTGER2	PPrel: activation	->	1.0
CGN	F11R	complex	-	1.0
CGN	PARD6A	complex	-	1.0
CHML	DENND1B	catalyzed by	<-	1.0
CHML	DENND2A	catalyzed by	<-	1.0
CHML	MADD	catalyzed by	<-	1.0
CHML	RAB17	predicted	-	0.93
CHML	RAB27A	complex	-	1.0
CHML	RAB3A	complex; input	-	1.0
CHML	RAB6B	predicted	-	0.91
CHML	RIN1	catalyzed by	<-	1.0
CHML	RIN3	catalyzed by	<-	1.0
CHPF	CSPG4	catalyze	->	1.0
CHRDL1	RGMB	input	-	1.0
CHST11	CSPG4	catalyze	->	1.0
CHST2	LUM	catalyze	->	1.0
CIITA	HLA-DMB	GErel: expression	->	1.0
CIITA	HLA-DOA	GErel: expression	->	1.0
CIITA	HLA-DPA1	GErel: expression	->	1.0
CIITA	HLA-DPB1	GErel: expression	->	1.0
CIITA	HLA-DRA	GErel: expression	->	1.0
CIITA	HLA-DRB1	GErel: expression	->	1.0
CIITA	HLA-DRB5	GErel: expression	->	1.0
CIITA	MEF2C	expression regulated by	<-	1.0
CIITA	POU2F2	expression regulated by	<-	1.0
CITED2	FOXA2	expression regulated by	<-	1.0
CITED2	JUN	activate; inhibited by	|->	1.0
CITED2	TFAP2C	complex; input	-	1.0
CLDN1	F11R	complex; input	-	1.0
CLDN1	TJP3	PPrel: binding/association	-	1.0
CLDN4	DSG2	predicted	-	0.91
CLDN4	OCLN	predicted	-	0.91
CLDN4	TJP3	PPrel: binding/association	-	1.0
CLIC5	EPB41L1	complex	-	1.0
CLIC5	GSN	complex	-	1.0
CLIC5	MPP1	complex	-	1.0
CLIC5	MSN	complex	-	1.0
CLIC5	MYO7A	complex	-	1.0
CLU	GATA2	expression regulated by	<-	1.0
CLU	JUN	expression regulated by	<-	1.0
CLU	MYBL2	expression regulated by	<-	1.0
CLU	PRNP	predicted	-	0.92
CLU	SEMG1	complex	-	1.0
CNTN1	EGR1	expression regulated by	<-	1.0
CNTN1	JUN	expression regulated by	<-	1.0
CNTN1	L1CAM	complex; input	-	1.0
CNTN1	MCAM	predicted	-	0.9
CNTN1	NOTCH2	complex; input	-	1.0
CNTN1	NRCAM	PPrel: activation	->	1.0
CNTN1	PRNP	predicted	-	0.91
COL12A1	COL3A1	predicted	-	0.91
COL12A1	COL5A1	predicted	-	0.93
COL12A1	COL8A1	predicted	-	0.91
COL12A1	DMBT1	complex; input	-	1.0
COL12A1	FLNB	complex; input	-	1.0
COL12A1	FN1	complex	-	1.0
COL12A1	ITGA2	complex; input	-	1.0
COL12A1	ITGA6	complex; input	-	1.0
COL12A1	ITGB8	complex; input	-	1.0
COL12A1	ITGBL1	complex; input	-	1.0
COL12A1	LAMA1	complex	-	1.0
COL12A1	LAMA3	complex	-	1.0
COL12A1	LAMA5	complex	-	1.0
COL12A1	LAMB2	complex	-	1.0
COL12A1	LAMC2	complex	-	1.0
COL12A1	MMP12	catalyzed by	<-	1.0
COL12A1	PTK2B	catalyzed by; complex; input	<-	1.0
COL17A1	DMBT1	complex; input	-	1.0
COL17A1	FLNB	complex; input	-	1.0
COL17A1	FN1	complex	-	1.0
COL17A1	ITGA2	complex; input	-	1.0
COL17A1	ITGA6	complex; input	-	1.0
COL17A1	ITGB8	complex; input	-	1.0
COL17A1	ITGBL1	complex; input	-	1.0
COL17A1	LAMA1	complex	-	1.0
COL17A1	LAMA3	complex; input	-	1.0
COL17A1	LAMA5	complex	-	1.0
COL17A1	LAMB2	complex	-	1.0
COL17A1	LAMC2	complex; input	-	1.0
COL17A1	PTK2B	catalyzed by; complex; input	<-	1.0
COL27A1	DMBT1	complex; input	-	1.0
COL27A1	FLNB	complex; input	-	1.0
COL27A1	FN1	complex	-	1.0
COL27A1	ITGA2	complex; input	-	1.0
COL27A1	ITGA6	complex; input	-	1.0
COL27A1	ITGB8	complex; input	-	1.0
COL27A1	ITGBL1	complex; input	-	1.0
COL27A1	LAMA1	complex	-	1.0
COL27A1	LAMA3	complex	-	1.0
COL27A1	LAMA5	complex	-	1.0
COL27A1	LAMB2	complex	-	1.0
COL27A1	LAMC2	complex	-	1.0
COL27A1	PTK2B	catalyzed by; complex; input	<-	1.0
COL3A1	COL5A1	predicted	-	0.93
COL3A1	DMBT1	complex; input	-	1.0
COL3A1	FLNB	complex; input	-	1.0
COL3A1	FN1	complex	-	1.0
COL3A1	ITGA2	PPrel: activation; complex; input	->	1.0
COL3A1	ITGA6	complex; input	-	1.0
COL3A1	ITGB8	complex; input	-	1.0
COL3A1	ITGBL1	complex; input	-	1.0
COL3A1	LAMA1	complex	-	1.0
COL3A1	LAMA3	complex	-	1.0
COL3A1	LAMA5	complex	-	1.0
COL3A1	LAMB2	complex	-	1.0
COL3A1	LAMC2	complex	-	1.0
COL3A1	POSTN	predicted	-	0.92
COL3A1	PTK2B	catalyzed by; complex; input	<-	1.0
COL3A1	SMAD3	expression regulated by	<-	1.0
COL4A3	COL4A4	complex; input	-	1.0
COL4A3	COL4A5	complex; input	-	1.0
COL4A3	COL4A6	complex; input	-	1.0
COL4A3	DMBT1	complex; input	-	1.0
COL4A3	FLNB	complex; input	-	1.0
COL4A3	FN1	complex	-	1.0
COL4A3	ITGA2	PPrel: activation; complex; input	->	1.0
COL4A3	ITGA6	PPrel: activation; complex; input	->	1.0
COL4A3	ITGB3	PPrel: activation; complex; input	->	1.0
COL4A3	ITGB8	PPrel: activation; complex; input	->	1.0
COL4A3	ITGBL1	complex; input	-	1.0
COL4A3	LAMA1	complex	-	1.0
COL4A3	LAMA3	complex	-	1.0
COL4A3	LAMA5	complex	-	1.0
COL4A3	LAMB2	complex	-	1.0
COL4A3	LAMC2	complex	-	1.0
COL4A3	PDGFA	complex; input	-	1.0
COL4A3	PDGFB	complex; input	-	1.0
COL4A3	PTK2B	catalyzed by; complex; input	<-	1.0
COL4A4	COL4A5	complex; input	-	1.0
COL4A4	COL4A6	complex; input	-	1.0
COL4A4	DMBT1	complex; input	-	1.0
COL4A4	FLNB	complex; input	-	1.0
COL4A4	FN1	complex	-	1.0
COL4A4	ITGA2	PPrel: activation; complex; input	->	1.0
COL4A4	ITGA6	PPrel: activation; complex; input	->	1.0
COL4A4	ITGB3	PPrel: activation; complex; input	->	1.0
COL4A4	ITGB8	PPrel: activation; complex; input	->	1.0
COL4A4	ITGBL1	complex; input	-	1.0
COL4A4	LAMA1	complex	-	1.0
COL4A4	LAMA3	complex	-	1.0
COL4A4	LAMA5	complex	-	1.0
COL4A4	LAMB2	complex	-	1.0
COL4A4	LAMC2	complex	-	1.0
COL4A4	PDGFA	complex; input	-	1.0
COL4A4	PDGFB	complex; input	-	1.0
COL4A4	PTK2B	catalyzed by; complex; input	<-	1.0
COL4A5	COL4A6	complex; input	-	1.0
COL4A5	DMBT1	complex; input	-	1.0
COL4A5	FLNB	complex; input	-	1.0
COL4A5	FN1	complex	-	1.0
COL4A5	ITGA2	PPrel: activation; complex; input	->	1.0
COL4A5	ITGA6	PPrel: activation; complex; input	->	1.0
COL4A5	ITGB3	PPrel: activation; complex; input	->	1.0
COL4A5	ITGB8	PPrel: activation; complex; input	->	1.0
COL4A5	ITGBL1	complex; input	-	1.0
COL4A5	LAMA1	complex	-	1.0
COL4A5	LAMA3	complex	-	1.0
COL4A5	LAMA5	complex	-	1.0
COL4A5	LAMB2	complex	-	1.0
COL4A5	LAMC2	complex	-	1.0
COL4A5	PDGFA	complex; input	-	1.0
COL4A5	PDGFB	complex; input	-	1.0
COL4A5	PTK2B	catalyzed by; complex; input	<-	1.0
COL4A6	DMBT1	complex; input	-	1.0
COL4A6	FLNB	complex; input	-	1.0
COL4A6	FN1	complex	-	1.0
COL4A6	ITGA2	PPrel: activation; complex; input	->	1.0
COL4A6	ITGA6	PPrel: activation; complex; input	->	1.0
COL4A6	ITGB3	PPrel: activation; complex; input	->	1.0
COL4A6	ITGB8	PPrel: activation; complex; input	->	1.0
COL4A6	ITGBL1	complex; input	-	1.0
COL4A6	LAMA1	complex	-	1.0
COL4A6	LAMA3	complex	-	1.0
COL4A6	LAMA5	complex	-	1.0
COL4A6	LAMB2	complex	-	1.0
COL4A6	LAMC2	complex	-	1.0
COL4A6	PTK2B	catalyzed by; complex; input	<-	1.0
COL5A1	COL6A2	predicted	-	0.9
COL5A1	COL6A3	predicted	-	0.97
COL5A1	COL8A1	predicted	-	0.96
COL5A1	DMBT1	complex; input	-	1.0
COL5A1	FLNB	complex; input	-	1.0
COL5A1	FN1	complex	-	1.0
COL5A1	ITGA2	complex; input	-	1.0
COL5A1	ITGA6	complex; input	-	1.0
COL5A1	ITGB8	complex; input	-	1.0
COL5A1	ITGBL1	complex; input	-	1.0
COL5A1	LAMA1	complex	-	1.0
COL5A1	LAMA3	complex	-	1.0
COL5A1	LAMA5	complex	-	1.0
COL5A1	LAMB2	complex	-	1.0
COL5A1	LAMC2	complex	-	1.0
COL5A1	LOXL2	predicted	-	0.92
COL5A1	POSTN	predicted	-	0.91
COL5A1	PTK2B	catalyzed by; complex; input	<-	1.0
COL5A1	THBS2	predicted	-	0.91
COL6A2	COL6A3	complex; input	-	1.0
COL6A2	DMBT1	complex; input	-	1.0
COL6A2	FLNB	complex; input	-	1.0
COL6A2	FN1	complex	-	1.0
COL6A2	ITGA2	PPrel: activation; complex; input	->	1.0
COL6A2	ITGA6	PPrel: activation; complex; input	->	1.0
COL6A2	ITGB3	PPrel: activation	->	1.0
COL6A2	ITGB8	PPrel: activation; complex; input	->	1.0
COL6A2	ITGBL1	complex; input	-	1.0
COL6A2	LAMA1	complex	-	1.0
COL6A2	LAMA3	complex	-	1.0
COL6A2	LAMA5	complex	-	1.0
COL6A2	LAMB2	complex	-	1.0
COL6A2	LAMC2	complex	-	1.0
COL6A2	PDGFA	complex; input	-	1.0
COL6A2	PDGFB	complex; input	-	1.0
COL6A2	PTK2B	catalyzed by; complex; input	<-	1.0
COL6A3	COL8A1	predicted	-	0.91
COL6A3	DMBT1	complex; input	-	1.0
COL6A3	FLNB	complex; input	-	1.0
COL6A3	FN1	complex	-	1.0
COL6A3	ITGA2	PPrel: activation; complex; input	->	1.0
COL6A3	ITGA6	PPrel: activation; complex; input	->	1.0
COL6A3	ITGB3	PPrel: activation	->	1.0
COL6A3	ITGB8	PPrel: activation; complex; input	->	1.0
COL6A3	ITGBL1	complex; input	-	1.0
COL6A3	LAMA1	complex	-	1.0
COL6A3	LAMA3	complex	-	1.0
COL6A3	LAMA5	complex	-	1.0
COL6A3	LAMB2	complex	-	1.0
COL6A3	LAMC2	complex	-	1.0
COL6A3	PDGFA	complex; input	-	1.0
COL6A3	PDGFB	complex; input	-	1.0
COL6A3	POSTN	predicted	-	0.91
COL6A3	PTK2B	catalyzed by; complex; input	<-	1.0
COL6A3	SMAD3	expression regulated by	<-	1.0
COL8A1	DMBT1	complex; input	-	1.0
COL8A1	FLNB	complex; input	-	1.0
COL8A1	FN1	complex	-	1.0
COL8A1	ITGA2	complex; input	-	1.0
COL8A1	ITGA6	complex; input	-	1.0
COL8A1	ITGB8	complex; input	-	1.0
COL8A1	ITGBL1	complex; input	-	1.0
COL8A1	LAMA1	complex	-	1.0
COL8A1	LAMA3	complex	-	1.0
COL8A1	LAMA5	complex	-	1.0
COL8A1	LAMB2	complex	-	1.0
COL8A1	LAMC2	complex	-	1.0
COL8A1	PTK2B	catalyzed by; complex; input	<-	1.0
COQ10B	NDUFC2	activate	->	1.0
CRADD	MADD	complex; input	-	1.0
CRADD	SMPD1	activate	->	1.0
CRADD	SMPD3	activate	->	1.0
CRADD	TNFRSF1A	complex; input; reaction	-	1.0
CRB3	PARD6A	PPrel: binding/association	-	1.0
CREB3L1	EGR1	GErel: expression	->	1.0
CREB3L1	JUN	GErel: expression	->	1.0
CREB3L1	MAPK13	PPrel: activated, indirect effect	<-	1.0
CREB3L1	NCEH1	GErel: expression	->	1.0
CREB3L1	PPARGC1A	GErel: expression; PPrel: activation, indirect effect	->	1.0
CREB3L1	PRKCG	PPrel: activated by	<-	1.0
CREB3L1	PRKG1	PPrel: activated by, phosphorylation	<-	1.0
CREB3L1	RPS6KA5	PPrel: activated by; PPrel: activated by, phosphorylation	<-	1.0
CREB3L1	TAF4B	complex	-	1.0
CREB3L1	VEGFA	GErel: expression	->	1.0
CSF3	EPOR	PPrel: activation	->	1.0
CSF3	IFNAR2	PPrel: activation	->	1.0
CSF3	IFNGR2	PPrel: activation	->	1.0
CSF3	IFNLR1	PPrel: activation	->	1.0
CSF3	IL6R	PPrel: activation	->	1.0
CSF3	JAK1	PPrel: activation; catalyze; catalyzed by; complex; input	<->	1.0
CSF3	LIFR	PPrel: activation	->	1.0
CSF3	NR3C1	expression regulated by	<-	1.0
CSF3	SOCS3	complex; input; reaction	-	1.0
CSPG4	GRIP1	predicted	-	0.94
CSPG4	JUN	expression regulated by	<-	1.0
CST1	CST4	predicted	-	0.97
CST7	CTSC	predicted	-	0.91
CTSS	HLA-DPA1	catalyze	->	1.0
CTSS	HLA-DPB1	catalyze	->	1.0
CTSS	HLA-DRA	catalyze	->	1.0
CTSS	HLA-DRB1	catalyze	->	1.0
CTSS	HLA-DRB5	catalyze	->	1.0
CTSS	HSPG2	catalyze	->	1.0
CUL4B	ERCC6	complex; input	-	1.0
CUL4B	INO80C	activated by	<-	1.0
CXCL16	CXCR4	PPrel: activation, binding/association	->	1.0
CXCL16	GPSM3	inhibited by	|-	1.0
CXCR4	DNM1	activated by	<-	1.0
CXCR4	EDN1	complex; input	-	1.0
CXCR4	GNA15	PPrel: activation; complex	->	1.0
CXCR4	GPSM3	inhibited by	|-	1.0
CXCR4	JUN	expression regulated by	<-	1.0
CXCR4	MYC	expression regulated by	<-	1.0
CXCR4	PTK2B	PPrel: indirect effect	-	1.0
CXCR4	PTPN6	complex; input	-	1.0
CXCR4	ROBO1	complex; input	-	1.0
CYB561	MYC	expression regulated by	<-	1.0
CYB5A	POR	predicted	-	0.98
CYFIP2	RAC3	PPrel: inhibited by	|-	1.0
CYFIP2	WASF3	complex	-	1.0
CYP11A1	JUN	expression regulated by	<-	1.0
CYP1A1	EPHX1	ECrel: compound	-	1.0
CYP1A1	GSTM1	ECrel: compound	-	1.0
CYP1A1	GSTM2	ECrel: compound	-	1.0
CYP1A1	GSTM3	ECrel: compound	-	1.0
CYP1A1	GSTM4	ECrel: compound	-	1.0
CYP1A1	GSTP1	ECrel: compound	-	1.0
CYP1A1	MGST1	ECrel: compound	-	1.0
CYP2C18	EPHX1	ECrel: compound	-	1.0
CYP2C18	GSTM1	ECrel: compound	-	1.0
CYP2C18	GSTM2	ECrel: compound	-	1.0
CYP2C18	GSTM3	ECrel: compound	-	1.0
CYP2C18	GSTM4	ECrel: compound	-	1.0
CYP2C18	GSTP1	ECrel: compound	-	1.0
CYP2C18	MGST1	ECrel: compound	-	1.0
DAAM1	DAAM2	predicted	-	0.94
DAAM1	RAC3	predicted	-	0.9
DAAM1	RHOB	complex; input	-	1.0
DAAM1	RHOJ	predicted	-	0.89
DAB2	DNAJC6	complex; input	-	1.0
DAB2	HIP1	complex; input	-	1.0
DAB2	HIP1R	complex; input	-	1.0
DAB2	ITGB3	predicted	-	0.94
DAB2	ITSN1	complex; input	-	1.0
DAB2	JUN	expression regulated by	<-	1.0
DAB2	SH3KBP1	predicted	-	0.93
DAB2	SMAD3	activate	->	1.0
DAB2	SYNJ1	complex; input	-	1.0
DAB2	SYNJ2	complex; input	-	1.0
DAB2IP	MCC	predicted	-	0.9
DAB2IP	TNFRSF1B	PPrel: activated by	<-	1.0
DACH1	SIX1	predicted	-	0.91
DAG1	DMD	PPrel: binding/association; complex; input	-	1.0
DAG1	HSPG2	PPrel: activated by; complex; input	<-	1.0
DAG1	LAMA1	PPrel: activated by; PPrel: binding/association; complex; input	<-	1.0
DAG1	LAMA3	PPrel: activated by; complex; input	<-	1.0
DAG1	LAMA5	PPrel: activated by; complex; input	<-	1.0
DAG1	LAMB2	PPrel: activated by	<-	1.0
DAG1	LAMC2	PPrel: activated by	<-	1.0
DAG1	PAK2	complex	-	1.0
DAG1	PAK6	complex	-	1.0
DBN1	MYO5C	predicted	-	0.9
DCLK1	MAST3	predicted	-	0.93
DDAH1	JUN	expression regulated by	<-	1.0
DDR1	ERBB3	predicted	-	0.91
DKK1	FZD1	inhibit; input	-|	1.0
DKK1	FZD8	input	-	1.0
DKK1	GATA2	expression regulated by	<-	1.0
DKK1	JUN	expression regulated by	<-	1.0
DKK1	KREMEN1	complex; input	-	1.0
DKK1	LRP5	PPrel: inhibition; complex; input	-|	1.0
DKK1	SFRP1	reaction	-	1.0
DKK1	SOST	reaction	-	1.0
DKK1	TCF7L2	expression regulated by	<-	1.0
DKK1	WNT7B	PPrel: inhibition	-|	1.0
DKK1	WNT8B	PPrel: inhibition; inhibit	-|	1.0
DMBT1	FLNB	complex; input	-	1.0
DMBT1	FN1	complex; input	-	1.0
DMBT1	ITGB8	complex	-	1.0
DMBT1	ITGBL1	complex	-	1.0
DMBT1	LAMA1	complex; input	-	1.0
DMBT1	LAMA3	complex; input	-	1.0
DMBT1	LAMA5	complex; input	-	1.0
DMBT1	LAMB2	complex; input	-	1.0
DMBT1	LAMC2	complex; input	-	1.0
DMBT1	PTK2B	catalyzed by; complex; input	<-	1.0
DMD	DTNA	predicted	-	0.94
DMD	JUN	expression regulated by	<-	1.0
DMD	LAMA1	complex; input	-	1.0
DMD	LAMA3	complex; input	-	1.0
DMD	LAMA5	complex; input	-	1.0
DMD	PAK2	complex	-	1.0
DMD	PAK6	complex	-	1.0
DMD	SNTA1	predicted	-	0.94
DNAJB4	JUN	predicted	-	0.91
DNAJC6	EREG	complex; input	-	1.0
DNAJC6	HIP1	complex; input	-	1.0
DNAJC6	HIP1R	complex; input	-	1.0
DNAJC6	IGF2R	complex; input	-	1.0
DNAJC6	ITSN1	complex; input	-	1.0
DNAJC6	KIAA0319	complex; input	-	1.0
DNAJC6	REPS2	complex; input	-	1.0
DNAJC6	SCARB2	complex; input	-	1.0
DNAJC6	SH3KBP1	complex; input	-	1.0
DNAJC6	STAM	complex; input	-	1.0
DNAJC6	SYNJ1	complex; input	-	1.0
DNAJC6	SYNJ2	complex; input	-	1.0
DNAJC6	SYT2	complex; input	-	1.0
DNAJC6	TGFA	complex; input	-	1.0
DNM1	EPHB2	complex; input	-	1.0
DNM1	F2R	activate	->	1.0
DNM1	GNA15	activate; inhibited by	|->	1.0
DNM1	NGF	activate	->	1.0
DNM1	SH3KBP1	reaction	-	1.0
DNM1	SLC9A3R1	activate; inhibited by	|->	1.0
DNM1	SYNJ1	reaction	-	1.0
DNM1L	PINK1	predicted	-	0.94
DOCK10	DOCK2	predicted	-	0.92
DOCK2	RAC3	PPrel: activation	->	1.0
DPF3	PHF10	predicted	-	0.98
DPF3	PPARG	PPrel: binding/association	-	1.0
DPYSL2	DPYSL3	predicted	-	0.95
DPYSL2	L1CAM	complex; input	-	1.0
DPYSL2	PLXNA1	catalyzed by; complex; input	<-	1.0
DPYSL2	PLXNA4	catalyzed by; complex; input	<-	1.0
DPYSL2	SEMA3A	catalyzed by; complex; input	<-	1.0
DPYSL2	TNIK	predicted	-	0.93
DPYSL3	JUN	expression regulated by	<-	1.0
DPYSL3	PLXNA1	catalyzed by; complex; input	<-	1.0
DPYSL3	PLXNA4	catalyzed by; complex; input	<-	1.0
DPYSL3	SEMA3A	catalyzed by; complex; input	<-	1.0
DSCAM	MAPK13	catalyze	->	1.0
DSG2	FLG	complex; input	-	1.0
DSG2	JUP	complex	-	1.0
DSG2	PKP3	complex	-	1.0
DUSP10	MAPK13	PPrel: inhibition, dephosphorylation; catalyze; inhibite	-	1.0
ECI2	SCP2	predicted	-	0.92
ECM1	HSPG2	predicted	-	0.91
EDN1	EDNRB	PPrel: activation; complex; input	->	1.0
EDN1	GATA2	expression regulated by	<-	1.0
EDN1	GATA3	expression regulated by	<-	1.0
EDN1	GNA15	complex; input	-	1.0
EDN1	HCAR1	PPrel: activation	->	1.0
EDN1	HTR1D	PPrel: activation	->	1.0
EDN1	JUN	GErel: expression by; expression regulated by	<-	1.0
EDN1	MYC	expression regulated by	<-	1.0
EDN1	NFATC1	catalyzed by	<-	1.0
EDN1	NFATC4	catalyzed by	<-	1.0
EDN1	NPY1R	PPrel: activation	->	1.0
EDN1	PPARG	expression regulated by	<-	1.0
EDN1	SLC9A3R1	complex; input	-	1.0
EDN1	SMAD3	expression regulated by	<-	1.0
EDN1	SSTR1	PPrel: activation	->	1.0
EDN1	SSTR2	PPrel: activation	->	1.0
EDN2	EDNRB	PPrel: activation; complex; input	->	1.0
EDN2	GNA15	complex; input	-	1.0
